,0
OBJECTID_1,int64
APN,object
FLAG,object
MAIL_STREE,object
MAIL_CITY,object
SITUS_STRE,object
SITUS_CITY,object
STREET_NUM,int64
STREET_PRE,object
STREET_NAM,object
STREET_TYP,object
STREET_SUF,object
UNIT_NUMBE,object
CITY,object
ZIP_CODE,object
CLASS_CODE,object
MULTIPLE,object
SUBDIVISIO,object
ACREAGE,float64
RECORDER_M,object
BOOK,object
PAGE,object
MAP_BOOK_P,object
COUNTY_COD,object
LOT_TYPE,object
LOT,object
BLOCK,object
CAME_FROM,object
TAX_RATE_A,object
LAND,int64
STRUCTURES,int64
SHAPESTAre,float64
SHAPESTLen,float64
Shape_Leng,float64
Shape_Area,float64
DATE_ADDED,object
geometry,geometry
